dispositivo,recursion,aspecto
38,Earth,Plastic cylinder with clear liquid
38,Ardeyn,Flask with bubbling liquid
38,Ruk,Biopod filled with living slime
39,Earth,Handheld device
39,Ardeyn,Violet gemstone
39,Ruk,Spore-filled pod
40,Earth,Handheld device
40,Ardeyn,Ring
40,Ruk,Forearm graft
41,Earth,Rose-colored glasses
41,Ardeyn,An eyepatch
41,Ruk,An extra-eye graft
42,Earth,Small device affixed to a melee or ranged weapon
42,Ardeyn,Rune affixed to a melee or ranged weapon
42,Ruk,Pod affixed to a melee or ranged weapon
43,Earth,Smartphone app
43,Ardeyn,Ring
43,Ruk,Small gunlike device
44,Earth,Bulky pill
44,Ardeyn,Sugared plum
44,Ruk,Subdermal graft
45,Earth,Harness with blinking LED lights
45,Ardeyn,Ring with wind motif
45,Ruk,Spine graft
46,Earth,Taserlike device
46,Ardeyn,Ring with lightning motif
46,Ruk,Subdermal implant
47,Earth,Eyeglasses
47,Ardeyn,Silver torc
47,Ruk,Translucent head sac
48,Earth,Small device affixed to a ranged weapon
48,Ardeyn,Rune affixed to a ranged weapon
48,Ruk,Pod affixed to a ranged weapon
49,Earth,Handheld taserlike device
49,Ardeyn,Glove
49,Ruk,Injector
50,Earth,Small device affixed to a ranged weapon
50,Ardeyn,Rune affixed to a ranged weapon
50,Ruk,Pod affixed to a ranged weapon
51,Earth,Small plastic bottle of ingestible liquid
51,Ardeyn,Leather boots
51,Ruk,Adhesive patch that activates when slapped
52,Earth,Handheld device that controls tiny drone
52,Ardeyn,Tiny winged golem
52,Ruk,Graft that launches tiny bioengineered wasp
53,Earth,Small can or bottle of ingestible liquid
53,Ardeyn,Bronze bracers
53,Ruk,Adhesive patch that activates when slapped
54,Earth,An ammo clip that fits any firearm
54,Ardeyn,A quiver of arrows
54,Ruk,A nodule that affixes to any weapon that fires ammunition
55,Earth,Red pill shaped like a fractal
55,Ardeyn,Golden elixir with fractal-shaped golden particulates
55,Ruk,A fractal-shaped graft
56,Earth,Pills with MENTO logo
56,Ardeyn,Tiny feathered dragons
56,Ruk,Organic pods that adhere to forehead
57,Earth,Green pill
57,Ardeyn,Tiny bird that animates and sits on user's shoulder
57,Ruk,Adhesive patch that activates when slapped
58,Earth,"A large poster, unrolled and affixed to a solid surface"
58,Ardeyn,Chalk used to scribe a circle 5 feet (2 m) in diameter
58,Ruk,Pod anchored on solid surface that projects the hologram of a door
59,Earth,Circuit-embedded cloak with paired battery belt
59,Ardeyn,Three iron rings and a crown woven together
59,Ruk,Temporary skin graft
