id,nombre,descripcion,coste,rango,proeza,clase_nombre
59,Drag Through Hell,"You send a creature within immediate range that you can see into one of a number of recursions filled with brimstone, hellfire, and demons. On a successful attack on a target of up to level 7, the target is pulled through a transitory inapposite gate and takes 6 points of damage as it is dragged through the hellish recursion behind some unspeakable monstrosity. If you concentrate, you can attempt to keep the target translocated with a new action and a new attack roll each round. Each round the target remains translocated, it suffers another 6 points of damage. If the target returns before dying (or if the initial attack wasn't successful at pulling the target into a hellish recursion), all tasks the target attempts on its next turn are modified by two steps to its detriment. Action.",9 Intellect Points,6,1,Paradox
60,Force Unification,"You briefly align the fundamental forces of existence, creating a point where they merge into a single interaction at a location you can see. This allows you to briefly rewrite one rule of the recursion where you are currently located. The effect can be dramatic, but it is always local and lasts anywhere from one round to a minute, depending on the nature of the change. Possibilities include changing the color of the sky, causing an eclipse, halving (or doubling) gravity, changing the speed of light, and similar effects. The GM will decide if your brief annotation of the laws of existence is reasonable, how long it will last, and what level of difficulty is needed to achieve it. Action.",13 Intellect points,6,1,Paradox
61,Index Recursion,"You feel a mental tug toward the nearest recursion gate that you don't already know about. You discern the location of and distance to that gate (translation or inapposite), and you learn enough information regarding the general nature and theme of the recursion it connects with to enter it directly using Translation. Action.",7 Intellect Points,6,1,Paradox
62,Master Translation,"When you initiate a translation, you can choose to also hasten and/or ease it. To do so, expend the Intellect cost to trigger this revision as you begin the translation trance. Then you can apply one level of Effort to ease or hasten the translation (instead of applying Effort to decrease the difficulty), or two levels of Effort to both ease and hasten the translation. You must know that the recursion exists; the GM will decide if you have enough information to confirm its existence and determine what level of difficulty is needed to reach the destination. Action to initiate.",5+ Intellect points,6,1,Paradox
63,Usurp Cypher,"Choose one cypher that you carry. The cypher must have an effect that is not instantaneous. You destroy the cypher and gain its power, which functions for you continuously. You can choose a cypher when you gain this ability, or you can wait and make the choice later. After you usurp a cypher's power, you cannot later switch to a different cypher-the ability works only once. Action to initiate.",,6,1,Paradox
64,Enthrall,"While talking, you grab and keep another creature's attention, even if the creature can't understand you. For as long as you do nothing but speak (you can't even move), the other creature takes no actions other than to defend itself, even over multiple rounds. If the creature is attacked, the effect ends. Action.",1 Intellect point,1,1,Spinner
65,Fast Talk,"When speaking with an intelligent creature who can understand you and isn't hostile, you convince that creature to take one reasonable action on the next round. A reasonable action must be agreed upon by the GM; it should not put the creature or its allies in obvious danger or be wildly out of character. Action.",1 Intellect point,1,1,Spinner
66,Sleight of Hand,"You can perform small but seemingly impossible tricks. For example, you can make a small object in your hands disappear and move into a desired spot within reach (like your pocket). You can make someone believe that he has something in his possession that he does not have (or vice versa). You can switch similar objects right in front of someone's eyes. Action.",1 Speed point,1,1,Spinner
67,Spin Encouragement,"While you maintain this twist through ongoing inspiring oration, your allies within short range modify the difficulty of one of the following task types (your choice) by one step to their benefit: defense tasks, attack tasks, or tasks related to any skill that you are trained or specialized in. Action.",1 Intellect point,1,1,Spinner
68,Spin Identity,"You convince all intelligent creatures who can see, hear, and understand you that you are someone or something other than who you actually are. You don't impersonate a specific individual known to the victim. Instead, you convince the victim that you are someone they do not know belonging to a certain category of people. ""We're from the government."" ""I'm just a simple farmer from the next town over."" ""Your commander sent me."" A disguise isn't necessary, but a good disguise will almost certainly be an asset to the roll involved. If you attempt to convince more than one creature, the Intellect cost increases by 1 point per additional victim. Fooled creatures remain so for up to an hour, unless your actions or other circumstances reveal your true identity earlier. Action.",2+ Intellect points,1,1,Spinner
69,Understanding,"You observe or study a creature or object. Then, the next time you interact with that creature or object, the difficulty of the related task is reduced by one step. Action.",2 Intellect points,1,1,Spinner
70,Babel,"After hearing a language spoken for a few minutes, you can speak it and make yourself understood. If you continue to use the language to interact with native speakers, your skills improve rapidly, to the point where you might be mistaken for a native speaker after just a few hours of speaking the new language. Enabler.",,2,1,Spinner
71,Efficiency,"You can make a weak rope last longer, coax more speed from a motorcycle, improve the clarity of a camera, jury-rig a light to be brighter, speed up an Internet connection, and so on. You increase an object's level by 2 for one minute, or treat the object as an asset that reduces an associated task's difficulty by two steps for one minute (your choice). Action to initiate.",2 Intellect points,2,1,Spinner
72,Escape,"You slip your restraints, squeeze through the bars, break the grip of a creature holding you, pull free from sucking quicksand, or otherwise get loose from that which is holding you in place. Action.",2 Speed points,2,1,Spinner
73,Hand to Eye,"This twist provides an asset to any tasks involving manual dexterity, such as pickpocketing, lockpicking, games involving agility, and so on. Each use lasts up to a minute; multiple uses replace the previous use. Action to initiate.",2 Speed points,2,1,Spinner
74,Pierce,"This is a well-aimed, penetrating ranged attack. You make an attack and inflict 1 additional point of damage. Action.",1 Speed point,2,1,Spinner
75,Spin Ideal,"After interacting with another creature who can hear and understand you for at least one minute, you can use a twist to attempt to temporarily impart an ideal to the target that you can't otherwise convince it of. An ideal is different than a specific suggestion or command; an ideal is an overarching value such as, ""all life is sacred,"" ""my political party is the best,"" ""children should be seen, not heard,"" and so on. An ideal influences a creature's behavior but doesn't control it. The imparted ideal lasts for as long as befits the situation, but usually at least a few hours. The implanted ideal is jeopardized if someone friendly to the creature spends a minute or more bringing the target back to its senses. Action.",3 Intellect points,2,1,Spinner
76,Blend In,"When you Blend In, creatures still see you, but they attach no importance to your presence for about a minute. While blending in, you are specialized in stealth and Speed defense tasks. This effect ends if you do something to reveal your presence or position-attacking, performing a twist, moving a large object, and so on. If this occurs, you can regain the remaining period of effect by taking an action to focus on seeming innocuous and as if you belong. Action to initiate or reinitiate.",4 Intellect points,3,1,Spinner
77,Grand Deception,You convince an intelligent creature that can understand you and isn't hostile of something that is wildly and obviously untrue. Action.,3 Intellect points,3,1,Spinner
78,Mind Reading,"You can read the surface thoughts of a creature within short range, even if the subject doesn't want you to. You must be able to see the target. Once you have established contact, you can read the target's thoughts for up to one minute. If you or the target moves out of range, the connection is broken. Action to initiate.",4 Intellect points,3,1,Spinner
79,Oratory,"When speaking with a group of intelligent creatures that can understand you and aren't hostile, you convince them to take one reasonable action on the next round. A reasonable action must be agreed upon by the GM; it should not put the creature or its allies in obvious danger or be wildly out of character. Action.",4 Intellect points,3,1,Spinner
80,Spray,"If a weapon has the ability to fire rapid shots without reloading (usually called a rapid-fire weapon, such as the automatic pistol), you can spray multiple shots around your target to increase the chance of hitting. This move uses 1d6 + 1 rounds of ammo (or all the ammo in the weapon, if it has less than the number rolled). The difficulty of the attack roll is decreased by one step. If the attack is successful, it deals 1 less point of damage than normal. Action.",2 Speed points,3,1,Spinner
81,Telling,"This twist provides an asset to any tasks attempting to deceive, persuade, or intimidate. Each use lasts up to a minute; a new use (to switch tasks) replaces the previous use. Action to initiate.",2 Intellect points,3,1,Spinner
82,Anticipate Attack,You can sense when and how creatures attacking you will make their attacks. The difficulty of Speed defense rolls are reduced by one step for one minute. Action.,4 Intellect points,4,1,Spinner
83,Feint,"If you spend one action creating a misdirection or diversion, in the next round you can take advantage of your opponent's lowered defenses. Make a melee attack roll against that opponent. The difficulty of the roll is decreased by one step. If your attack is successful, it inflicts 4 additional points of damage. Action.",2 Speed points,4,1,Spinner
84,Quick Wits,"When performing a task that would normally require spending points from your Intellect Pool, you can spend points from your Speed Pool instead. Enabler.",,4,1,Spinner
85,Read the Signs,"You examine an area and learn precise, useful details about the past (if any exist). You can ask the GM up to four questions about the immediate area, but each requires its own roll. Action.",4 Intellect points,4,1,Spinner
86,Suggestion,"You suggest an action to another creature within immediate range. If the action doesn't seem completely at odds with the creature's nature, the creature follows your suggestion. The creature must be a level 2 or lower. The effect of your suggestion lasts for up to a minute. Instead of applying a level of Effort to decrease the difficulty, you can apply it to increase the maximum level of the target you can affect by 1. When you use this twist, you immediately learn the creature's level (if you didn't already know it). If its level is higher than 2, you can immediately apply levels of Effort to increase the maximum level allowed (up to that creature's level). When the effects of the twist end, the creature remembers following the suggestion, but believes that it chose to do so willingly. Action to initiate.",4 Intellect points,4,1,Spinner
87,Arc Spray,"If a weapon has the ability to fire rapid shots without reloading (usually called a rapid-fire weapon, such as the automatic pistol), you can fire your weapon at up to three targets (all next to one another) as a single action. Make a separate attack roll against each target. The difficulty of each attack is increased by one step. Action.",3 Speed points,5,1,Spinner
88,Energy Protection,"Choose a discrete type of energy that you have experience with (such as heat, sonic, electricity, and so on). You must be familiar with the type of energy; for example, if you have no experience with a certain kind of extradimensional energy, you can't protect against it. You gain +10 to Armor against damage from that type of energy for ten minutes. Alternatively, you gain +1 to Armor against damage from that energy for one day. Instead of applying Effort to decrease the difficulty, you can apply Effort to protect more targets, with each level of Effort affecting up to two additional targets. You must touch additional targets to protect them. Action to initiate.",4+ Intellect points,5,1,Spinner
89,Jury-Rig,"You quickly create an object using what would seem to be entirely inappropriate materials. You can make a bomb out of a tin can and some household cleaners, a lockpick out of aluminum foil, or a sword out of broken furniture. The level of the item determines the difficulty of the task, but the appropriateness of the materials modifies it as well. Generally, the object can be no larger than something you can hold in one hand, and it functions once (or in the case of a weapon or similar item, is essentially useful for one encounter). If you spend at least ten minutes on the task, you can make up to a level 5 item. You can't change the nature of the materials involved. You can't take iron rods and make a pile of gold coins or a wicker basket, for example. Action.",5 Intellect points,5,1,Spinner
90,Skill With Attacks,"Choose one type of attack in which you are not already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. Enabler.",,5,1,Spinner
91,Battle Management,"As long as you spend your action each round giving orders or advice, the difficulty of attack and defense actions by your allies within short range is decreased by one step. Action.",4 Intellect points,6,1,Spinner
92,Skill With Attacks,"Choose one type of attack, even one in which you are already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. If you're already trained in that type of attack, you become specialized in that type of attack. Enabler.",,6,1,Spinner
93,True Senses,"You can see in complete darkness up to 50 feet (15 m) as if it were dim light. You recognize holograms, disguises, optical illusions, sound mimicry, and other such tricks (for all senses) for what they are. Enabler.",,6,1,Spinner
94,Word of Command,"You utter a word so powerful that to fully empower it, you sacrifice a level 6 or higher cypher in your possession. You issue your Word of Command to one creature within long range that you can see. It does not have to hear you to be affected. Targets native to Earth are affected if you succeed on an Intellect attack to persuade. Targets native to a recursion or the Strange (including planetovores) are automatically affected. Affected targets must obey the command for several hours before they're free to act as they wish. Targets that are attacked while under the effect of your command can defend themselves. Typical commands include ""Retreat,"" ""Calm,"" ""Come,"" and ""Stay."" The GM decides how the target acts once a command is given. Action.","6 Intellect points + level
6 cypher",6,1,Spinner
